accounts merrill,added cents,advancing issues,advancing ones,agree ment,agreed pay,announced plans,appear page,associated press,barrels oil,bear market,beginning year,bought cents,bought yen,breaking business,change index,change stock,change troy,changed hands,changing hands,click symbol,climbed cents,climbed percent,clining ones,closed cents,closed points,closed troy,closed yesterday,coming months,coming weeks,compa nies,compared year,consulting firm,continued business,continued page,contributed article,cut costs,cut oil,cut output,cut production,cut rates,decline oil,declined cents,declined comment,declining issues,declining ones,delivered textiles,demand copper,demand oil,developing countries,dock cocoa,dressed eggs,driving season,drop oil,dropped cents,dropped percent,dropped points,edwards sons,emerging markets,ended cents,ended year,exchange gold,exchange oil,exchange troy,expected increase,expected rise,exporting coun,exporting countries,falling oil,falling prices,favorites stocks,feeds corn,fell barrel,fell cent,fell cents,fell commodity,fell ounce,fell percent,fell point,fell points,fell troy,fell year,fell yesterday,finished cents,finished goods,gained cent,gained cents,gained percent,gained points,holding company,increase oil,increase output,increase production,increased demand,increased percent,invested yield,jumped cents,jumped percent,jumped points,leading indicators,lifting ban,limit cents,lost cents,lost ground,lost percent,lost points,make money,managing director,manufacturing sector,markets energy,markets gold,markets oil,marks midday,meet demand,mixed results,operating costs,operating earnings,operating income,operating profit,outnumbered advancers,outnumbered clining,outnumbered decliners,phillips petroleum,points week,points year,posts internet,prices oil,producing countries,provided oil,pump prices,purchasing management,purchasing managers,push prices,quoted japanese,raise prices,raise rates,raising rates,reflect afternoon,reflect morning,released yesterday,reported net,rise crude,rise oil,rising oil,rising prices,rising rates,rose barrel,rose cent,rose cents,rose commodity,rose dollar,rose ounce,rose percent,rose point,rose points,rose standard,rose troy,rose year,rose yesterday,said analyst,said analysts,said charles,said commodity,said companies,said company,said crude,said earnings,said energy,said gold,said government,said interview,said investors,said market,said net,said oil,said opec,said people,said plans,said price,said prices,said report,said sales,said statement,said today,said traders,said week,said yesterday,say oil,sell oil,selling pressure,sent prices,set record,settle barrel,settle cents,settled barrel,settled cent,settled cents,slid cents,slipped cents,slowing economy,soybeans prices,start year,surged percent,think market,thurs day,told reporters,took profits,tures prices,turn page,vancing ones,vested yield,yen gold,yield dollar,yield moves,yield percent,yield year,advancers outnumbered,advancers volume,analyst said,analysts believe,analysts estimates,analysts expect,analysts expected,analysts noted,analysts said,analysts say,association said,baker hughes,barrels crude,barrels week,bid asked,bond fell,bond rose,brent blend,broilers dressed,buyers guide,cents bushel,cents invested,cents settle,commodities report,companies including,companies interactive,companies like,companies reported,companies said,company reported,company said,contract dropped,contract ended,contract fell,contract gained,contract rose,contract settled,contracts rose,corporation said,coun tries,crude miss,data showed,day said,dealer said,dealers said,decliners outnumbered,decliners volume,delivery closed,delivery dropped,delivery ended,delivery fell,delivery jumped,delivery rose,delivery settled,department reported,department said,dollar bought,dollar fell,dollar finished,dollar quoted,dollar rose,dollar settled,earnings fell,economists said,economists say,economy grew,economy growing,economy said,economy slowing,exchange fell,exchange rose,exchange said,exchanges world,experts said,experts say,figures reflect,firms chg,futures advanced,futures closed,futures ended,futures fell,futures gained,futures mixed,futures rallied,futures rose,futures settled,futures soared,gallon unleaded,gas rose,gasoline fell,gasoline rose,gasoline unleaded,gold fell,government said,grains feeds,group said,income rose,index added,index climbed,index closed,index dropped,index ended,index fell,index gained,index leading,index lost,index rose,index slipped,indicators news,inflation fears,inventories crude,issues led,issues outnumbered,jobs report,lie said,listings appear,livery settled,management said,market closed,market going,market said,markets closed,markets crude,markets said,markets yesterdays,note fell,note rose,nyses composite,official said,officials said,officials say,oil fell,oil rose,oil said,oil settled,omaha avg,percent change,percent end,percent gain,percent rise,percent said,petroleum exporting,points end,price declines,price fell,price rose,prices advanced,prices began,prices climbed,prices closed,prices continue,prices continued,prices crude,prices decline,prices declined,prices drop,prices dropped,prices ended,prices expected,prices fall,prices fallen,prices falling,prices fell,prices gained,prices heating,prices helped,prices hit,prices jumped,prices mixed,prices moved,prices paid,prices plunged,prices provided,prices rallied,prices remain,prices retreated,prices rise,prices risen,prices rising,prices rose,prices said,prices settled,prices slipped,prices soar,prices soared,prices stay,prices surge,prices surged,prices tumbled,prices year,profit rose,profit taking,quarter ended,quotes updated,rates percent,report released,report said,report showed,reporters wall,revenue rose,rubber smoked,sales rose,securities said,share compared,shares fell,shares rose,shares traded,sons louis,sources said,soybeans rose,spending rose,spokesman said,stock fell,stocks advanced,stocks closed,stocks col,stocks dow,stocks ended,stocks fell,stocks held,stocks rallied,stocks rose,stocks said,summer driving,time said,trader said,traders expected,traders said,traders say,treasurys year,volume fell,volume rose,volume taled,volume totaled,week ended,week said,year according,year ended,year lows,year note,year said,year says,yen fell,yen rose,yesterday closes,yield fell,yield rose,zinc delivered
1,0,1,1,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,3,0,2,1,0,2,0,0,0,0,0,0,0,2,2,0,0,2,0,0,1,1,0,3,1,0,1,1,0,2,0,0
0,0,1,0,0,0,0,3,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,2,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,4,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,2,1,0,0,1,4,0,1,0,5,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,1,0,0,0,0,0,0,3,0,0,0,0,0,3,0,1,1,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,4,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0
1,1,2,1,0,0,0,3,5,0,0,0,0,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,2,4,0,0,3,0,1,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,2,2,0,1,0,1,0,0,0,2,0,7,0,0,0,3,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,1,0,2,1,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,4,3,1,0,3,3,0,0,2,0,0,0,0,0,0,0,0,1,1,0,2,0,1,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,1,5,0,3,0,0,0,4,1,0,3,0,2,2,0,1,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,1,2,0,3,0,0,0,0,0,5,0,1,3,1,0,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,3,0,1,0,1,4,3,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,2,5,0,0,0,0,0,1,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,4,0,0,0,5,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,1,1,0,0,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,3,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,3,0,4,2,2,1,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,3,0,0,5,0,2,0,1,0,3,1,0,4,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,2,0,0,1,0,3,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,3,2,2,0,2,0,2,2,2,0,0,0,3,0,0,1,0,0,1,0,0
0,0,2,0,0,1,1,2,1,0,0,1,0,2,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,10,0,0,1,4,0,2,0,2,1,1,0,2,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,1,1,0,0,1,1,1,1,0,0,0,0,2,0,0,1,0,1,2,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,4,2,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,6,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,2,1,1,0,2,0,0,0,0,0,4,0,0,0,0,0,0,2,0
0,1,1,0,1,0,0,3,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,2,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0,1,0,0,2,0,1,1,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,2,0
0,0,0,1,0,0,0,0,3,4,0,0,0,1,1,1,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,3,0,0,1,0,0,1,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,0,0,0,3,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,4,2,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0,1,0,0,1,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,3,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,2,0,2,0,2,1,0,0,0,1,0,0,2,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,2,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,1,0,0,1,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
1,0,3,0,0,0,0,1,1,3,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,1,0,0,0,8,0,1,3,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,8,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7,0,3,0,0,0,3,0,1,1,0,0,0,0,0,0,1,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,3,1,1,0,3,0,0,0,0,0,4,0,0,0,0,0,1,1,0
2,3,1,1,1,0,1,5,0,1,0,0,0,2,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,1,1,0,2,0,0,0,5,0,0,4,1,2,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,17,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,2,0,1,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,2,3,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,2,0,0,3,0,3,0,0,0,2,0,0,5,0,0,0,0,1,0,1,0,0,3,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,4,2,0,0,1,0,0,0,1,1,0,0,0,5,2,0,3,0,0,1,1,0,1,0,2,1,1,0,2,0,1,0,0,1,2,0,0,0,1,0,1,1,0
1,0,1,0,1,0,0,1,1,2,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,5,1,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,1,1,0,2,0,0,4,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,5,1,1,0,0,0,1,2,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,5,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,1,1,1,0,2,0,0,0,0,0,1,0,0
